id,left,top,right,bottom,X,Y,Z
"50",298473.598285385,6876478.9928241,299473.598285385,6877478.9928241,298473.598,6876478.993,275.140
"51",298473.598285385,6875478.9928241,299473.598285385,6876478.9928241,298473.598,6875478.993,272.096
"52",298473.598285385,6874478.9928241,299473.598285385,6875478.9928241,298473.598,6874478.993,303.513
"53",298473.598285385,6873478.9928241,299473.598285385,6874478.9928241,298473.598,6873478.993,317.770
"54",298473.598285385,6872478.9928241,299473.598285385,6873478.9928241,298473.598,6872478.993,345.022
"55",298473.598285385,6871478.9928241,299473.598285385,6872478.9928241,298473.598,6871478.993,419.476
"56",298473.598285385,6870478.9928241,299473.598285385,6871478.9928241,298473.598,6870478.993,494.586
"57",298473.598285385,6869478.9928241,299473.598285385,6870478.9928241,298473.598,6869478.993,520.213
"58",298473.598285385,6868478.9928241,299473.598285385,6869478.9928241,298473.598,6868478.993,566.375
"59",298473.598285385,6867478.9928241,299473.598285385,6868478.9928241,298473.598,6867478.993,620.893
"60",298473.598285385,6866478.9928241,299473.598285385,6867478.9928241,298473.598,6866478.993,514.535
"61",298473.598285385,6865478.9928241,299473.598285385,6866478.9928241,298473.598,6865478.993,582.413
"62",298473.598285385,6864478.9928241,299473.598285385,6865478.9928241,298473.598,6864478.993,561.447
"67",298473.598285385,6859478.9928241,299473.598285385,6860478.9928241,298473.598,6859478.993,483.108
"68",298473.598285385,6858478.9928241,299473.598285385,6859478.9928241,298473.598,6858478.993,513.734
"69",298473.598285385,6857478.9928241,299473.598285385,6858478.9928241,298473.598,6857478.993,513.083
"70",298473.598285385,6856478.9928241,299473.598285385,6857478.9928241,298473.598,6856478.993,462.557
"71",298473.598285385,6855478.9928241,299473.598285385,6856478.9928241,298473.598,6855478.993,604.621
"72",298473.598285385,6854478.9928241,299473.598285385,6855478.9928241,298473.598,6854478.993,564.679
"73",298473.598285385,6853478.9928241,299473.598285385,6854478.9928241,298473.598,6853478.993,718.383
"74",298473.598285385,6852478.9928241,299473.598285385,6853478.9928241,298473.598,6852478.993,718.891
"75",298473.598285385,6851478.9928241,299473.598285385,6852478.9928241,298473.598,6851478.993,536.268
"76",298473.598285385,6850478.9928241,299473.598285385,6851478.9928241,298473.598,6850478.993,553.745
"77",298473.598285385,6849478.9928241,299473.598285385,6850478.9928241,298473.598,6849478.993,499.009
"78",298473.598285385,6848478.9928241,299473.598285385,6849478.9928241,298473.598,6848478.993,386.195
"79",298473.598285385,6847478.9928241,299473.598285385,6848478.9928241,298473.598,6847478.993,253.046
"80",298473.598285385,6846478.9928241,299473.598285385,6847478.9928241,298473.598,6846478.993,228.917
"81",298473.598285385,6845478.9928241,299473.598285385,6846478.9928241,298473.598,6845478.993,138.099
"87",299473.598285385,6881478.9928241,300473.598285385,6882478.9928241,299473.598,6881478.993,208.117
"88",299473.598285385,6880478.9928241,300473.598285385,6881478.9928241,299473.598,6880478.993,226.526
"89",299473.598285385,6879478.9928241,300473.598285385,6880478.9928241,299473.598,6879478.993,222.536
"90",299473.598285385,6878478.9928241,300473.598285385,6879478.9928241,299473.598,6878478.993,248.405
"91",299473.598285385,6877478.9928241,300473.598285385,6878478.9928241,299473.598,6877478.993,275.409
"92",299473.598285385,6876478.9928241,300473.598285385,6877478.9928241,299473.598,6876478.993,291.952
"93",299473.598285385,6875478.9928241,300473.598285385,6876478.9928241,299473.598,6875478.993,299.472
"94",299473.598285385,6874478.9928241,300473.598285385,6875478.9928241,299473.598,6874478.993,308.615
"95",299473.598285385,6873478.9928241,300473.598285385,6874478.9928241,299473.598,6873478.993,339.254
"96",299473.598285385,6872478.9928241,300473.598285385,6873478.9928241,299473.598,6872478.993,367.210
"97",299473.598285385,6871478.9928241,300473.598285385,6872478.9928241,299473.598,6871478.993,409.964
"98",299473.598285385,6870478.9928241,300473.598285385,6871478.9928241,299473.598,6870478.993,508.103
"99",299473.598285385,6869478.9928241,300473.598285385,6870478.9928241,299473.598,6869478.993,599.612
"100",299473.598285385,6868478.9928241,300473.598285385,6869478.9928241,299473.598,6868478.993,702.718
"101",299473.598285385,6867478.9928241,300473.598285385,6868478.9928241,299473.598,6867478.993,761.590
"102",299473.598285385,6866478.9928241,300473.598285385,6867478.9928241,299473.598,6866478.993,617.065
