feature_name,group,X,Y,Z,coord,val,strike,dip,gx,gy,gz,intrusion_contact_type,intrusion_side,intrusion_anisotropy,description
host rock,stratigraphy,297487.7525,6849835.021,479.589386,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,298128.8723,6851651.262,586.260254,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,298373.4086,6851650.671,630.525513,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,298579.1766,6851927.169,616.728271,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,298585.7607,6852087.209,692.664185,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,299046.4549,6853137.82,837.373047,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,299178.5037,6853404.842,926.225586,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300163.9259,6853965.629,672.535889,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300437.199,6855198.857,575.434204,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300622.7212,6855879.506,644.110046,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300650.9069,6855908.515,673.884399,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300663.3714,6855483.886,695.399048,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,300814.228,6856264.12,736.424622,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,301070.1832,6856479.181,673.647034,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,301079.8654,6856562.706,654.581055,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,301204.224,6856823.783,631.476685,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,302382.9949,6858326.707,345.49939,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,303014.2191,6859454.907,394.113403,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,303410.6455,6860761.248,464.047607,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,304516.0322,6862851.415,390.94812,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,304556.8097,6862423.779,341.653381,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,304649.5127,6864199.347,502.503387,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,304790.2312,6864733.519,566.668213,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,304938.9041,6865004.608,651.949341,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,305229.5726,6865381.232,656.407532,,0,,,,,,,,,Base of La Negra Fm
host rock,stratigraphy,306496.6989,6866677.664,636.129883,,0,,,,,,,,,Base of La Negra Fm
