X,Y,Z,val
298473.598,6876478.993,275.14,0
298473.598,6875478.993,272.096,0
298473.598,6874478.993,303.513,0
298473.598,6873478.993,317.77,0
298473.598,6872478.993,345.022,0
298473.598,6871478.993,419.476,0
298473.598,6870478.993,494.586,0
298473.598,6869478.993,520.213,0
298473.598,6868478.993,566.375,0
298473.598,6867478.993,620.893,0
298473.598,6866478.993,514.535,0
298473.598,6865478.993,582.413,0
298473.598,6864478.993,561.447,0
298473.598,6859478.993,483.108,0
298473.598,6858478.993,513.734,0
298473.598,6857478.993,513.083,0
298473.598,6856478.993,462.557,0
298473.598,6855478.993,604.621,0
298473.598,6854478.993,564.679,0
298473.598,6853478.993,718.383,0
298473.598,6852478.993,718.891,0
298473.598,6851478.993,536.268,0
298473.598,6850478.993,553.745,0
298473.598,6849478.993,499.009,0
298473.598,6848478.993,386.195,0
298473.598,6847478.993,253.046,0
298473.598,6846478.993,228.917,0
298473.598,6845478.993,138.099,0
299473.598,6881478.993,208.117,0
299473.598,6880478.993,226.526,0
299473.598,6879478.993,222.536,0
299473.598,6878478.993,248.405,0
299473.598,6877478.993,275.409,0
299473.598,6876478.993,291.952,0
299473.598,6875478.993,299.472,0
299473.598,6874478.993,308.615,0
299473.598,6873478.993,339.254,0
299473.598,6872478.993,367.21,0
299473.598,6871478.993,409.964,0
299473.598,6870478.993,508.103,0
299473.598,6869478.993,599.612,0
299473.598,6868478.993,702.718,0
299473.598,6867478.993,761.59,0
299473.598,6866478.993,617.065,0
299473.598,6865478.993,568.235,0
299473.598,6864478.993,582.954,0
299473.598,6863478.993,390.6,0
299473.598,6862478.993,307.408,0
299473.598,6861478.993,245.873,0
299473.598,6860478.993,317.379,0
299473.598,6859478.993,442.594,0
299473.598,6858478.993,742.136,0
299473.598,6857478.993,613.144,0
299473.598,6856478.993,625.089,0
299473.598,6855478.993,610.128,0
299473.598,6854478.993,687.001,0
299473.598,6853478.993,810.676,0
299473.598,6852478.993,656.317,0
299473.598,6851478.993,467.414,0
299473.598,6850478.993,388.417,0
299473.598,6849478.993,328.034,0
299473.598,6848478.993,291.627,0
299473.598,6847478.993,246.698,0
299473.598,6846478.993,240.065,0
299473.598,6845478.993,160.734,0
300473.598,6881478.993,250.226,0
300473.598,6880478.993,247.7,0
300473.598,6879478.993,259.126,0
300473.598,6878478.993,248.716,0
300473.598,6877478.993,308.582,0
300473.598,6876478.993,279.681,0
300473.598,6875478.993,319.727,0
300473.598,6874478.993,312.46,0
300473.598,6873478.993,362.854,0
300473.598,6872478.993,410.335,0
300473.598,6871478.993,422.787,0
300473.598,6870478.993,557.099,0
300473.598,6869478.993,535.484,0
300473.598,6868478.993,604.449,0
300473.598,6867478.993,614.592,0
300473.598,6866478.993,558.459,0
300473.598,6865478.993,604.161,0
300473.598,6864478.993,392.468,0
300473.598,6863478.993,416.867,0
300473.598,6862478.993,266.184,0
300473.598,6861478.993,297.897,0
300473.598,6860478.993,510.474,0
300473.598,6859478.993,508.907,0
300473.598,6858478.993,578.586,0
300473.598,6857478.993,608.282,0
300473.598,6856478.993,730.452,0
300473.598,6855478.993,612.286,0
300473.598,6854478.993,761.888,0
300473.598,6853478.993,767.837,0
300473.598,6852478.993,614.743,0
300473.598,6851478.993,531.418,0
300473.598,6850478.993,518.627,0
300473.598,6849478.993,373.935,0
300473.598,6848478.993,334.22,0
300473.598,6847478.993,276.97,0
300473.598,6846478.993,195.949,0
300473.598,6845478.993,237.929,0
301473.598,6881478.993,291.653,0
301473.598,6880478.993,287.08,0
301473.598,6879478.993,294.296,0
301473.598,6878478.993,298.472,0
301473.598,6877478.993,302.733,0
301473.598,6876478.993,310.947,0
301473.598,6875478.993,328.751,0
301473.598,6874478.993,353.693,0
301473.598,6873478.993,383.286,0
301473.598,6872478.993,444.339,0
301473.598,6871478.993,504.846,0
